MAE,p-value,effsize,pow
0.06,0.17062997,negligible,0.51
0.09,0.08018423,negligible,0.84
0.16,0.001703917,small,1
0.08,0.408658382,negligible,0.76
0.03,0.630222928,negligible,0.24
0.03,0.943732876,negligible,0.24
0.04,0.163432076,negligible,0.27
0.04,0.086844785,negligible,0.26
0.02,0.742865309,negligible,0.14
0.07,0.152199217,negligible,0.77
0.03,0.729922047,negligible,0.17
0.22,9.09E-06,small,1
0.43,5.74E-15,medium,1
0.22,7.54E-05,small,1
0.09,0.044781601,negligible,0.85
0.1,0.43513626,negligible,0.97
0.03,0.129613764,negligible,0.14
0.05,0.18693182,negligible,0.44
0.11,0.264249259,negligible,0.97
0.22,2.90E-05,small,1
0.03,0.501345435,negligible,0.27
0,0.548598237,negligible,0.05
0.02,0.338036127,negligible,0.11
0.03,0.960860621,negligible,0.25
0.04,0.357400549,negligible,0.22
0.02,0.193482542,negligible,0.08
0.15,0.033289506,small,0.99
0.15,0.022577159,small,0.98
0.02,0.685501545,negligible,0.08
0.03,0.516505583,negligible,0.23
0.15,0.001055331,small,0.99
0.02,0.554158715,negligible,0.08
