MAE,p-value,effsize,pow
0.13,0.08789948220432564,small,0.99
0.16,0.01244822733695126,small,1.0
0.06,0.13102811166784373,negligible,0.68
0.1,0.25103367603103743,negligible,0.95
0.17,0.09530663387682593,small,1.0
0.16,0.0033735818866265778,small,1.0
0.1,0.15678926685879135,negligible,0.95
0.08,0.1771226262030604,negligible,0.82
0.19,0.0023904750317185206,small,1.0
0.12,0.016752277993436565,small,1.0
0.13,0.08160933849053251,small,1.0
0.13,0.05480804482030555,small,0.99
0.15,0.006921921077384489,small,1.0
0.16,0.000327726248867132,small,1.0
0.12,0.1441446516986134,small,0.99
0.17,0.001240472671002083,small,1.0
0.11,0.15445527779700774,negligible,0.98
0.23,0.0005762703494789542,small,1.0
0.11,0.07479848742748968,negligible,0.98
0.21,0.00023148110460897514,small,1.0
0.1,0.49309636233583753,negligible,0.96
0.05,0.9348854638475801,negligible,0.4
0.17,0.04586592500666042,small,1.0
0.22,0.000315213892777759,small,1.0
0.22,0.00011897931758038875,small,1.0
0.19,0.002951151260358823,small,1.0
0.11,0.13679780366940725,negligible,0.87
0.11,0.013884574979745552,negligible,0.93
0.18,0.0018499632058272735,small,1.0
0.05,0.9763539954101045,negligible,0.49
0.14,0.059276758753729133,small,0.99
0.04,0.7660996437054897,negligible,0.33
