MAE,p-value,effsize,pow
0.02,0.26904563911874346,negligible,0.09
0.05,0.20149406708312045,negligible,0.39
0.16,0.0009053626429854224,small,1.0
0.03,0.08473482208325413,negligible,0.25
0.0,0.35185865260887883,negligible,0.05
0.04,0.655949431321052,negligible,0.44
0.04,0.5369480828306363,negligible,0.31
0.05,0.276602936995352,negligible,0.51
0.05,0.9232274203432477,negligible,0.49
0.04,0.7712061611088009,negligible,0.4
0.05,0.7940273758875297,negligible,0.54
0.19,0.0012620960080572423,small,1.0
0.35,2.9626170225636917e-11,medium,1.0
0.16,0.003735862074721199,small,1.0
0.08,0.2961377743942365,negligible,0.85
0.1,0.2153668005607422,small,1.0
0.08,0.2807766976573204,negligible,0.89
0.06,0.8576132512097538,negligible,0.61
0.08,0.8494728698652062,negligible,0.88
0.15,0.005884879967218516,small,1.0
0.02,0.9172333428087719,negligible,0.18
0.01,0.527118720558583,negligible,0.06
0.01,0.1600165814050084,negligible,0.07
0.07,0.5846719602938877,negligible,0.78
0.03,0.3725479329746041,negligible,0.17
0.03,0.6064947550326854,negligible,0.18
0.12,0.13244438219089813,negligible,0.97
0.14,0.004852266010542193,small,0.99
0.05,0.5474938979226667,negligible,0.37
0.03,0.9974622134724614,negligible,0.27
0.14,0.08469917799161063,small,0.99
0.02,0.9295402918580029,negligible,0.14
