MAE,p-value,effsize,pow
0.01,0.5579140800123563,negligible,0.07
0.02,0.7996995419564275,negligible,0.15
0.02,0.8792116159623558,negligible,0.1
0.12,0.0034305933477417404,small,1.0
0.11,0.01993696827354167,small,1.0
0.03,0.37880517425978877,negligible,0.27
0.07,0.14457168606998483,negligible,0.77
0.03,0.44945448550494005,negligible,0.2
0.06,0.18243059722695498,negligible,0.62
0.03,0.37167908302570296,negligible,0.29
0.06,0.04312128044365596,negligible,0.7
0.05,0.37821317898246976,negligible,0.53
0.05,0.6868410984462041,negligible,0.42
0.01,0.9078061217665877,negligible,0.08
0.01,0.6352837813244333,negligible,0.06
0.06,0.24071775750263902,negligible,0.73
0.01,0.6217849179955186,negligible,0.08
0.04,0.05729663295910864,negligible,0.4
0.02,0.46623366568911173,negligible,0.1
0.02,0.1880796849682741,negligible,0.11
0.08,0.04730673620032983,negligible,0.93
0.04,0.268988692057196,negligible,0.32
0.09,0.025123942307200407,negligible,0.97
0.02,0.14929980781853835,negligible,0.11
0.1,0.01726538310836496,negligible,0.96
0.07,0.06553163348505792,negligible,0.72
0.03,0.5372572910713724,negligible,0.19
0.08,0.08947146164875923,negligible,0.73
0.04,0.12056036687296474,negligible,0.28
0.08,0.0016609409394579356,negligible,0.9
0.01,0.6736987287934948,negligible,0.05
