sim,model,MAE,p-value,eff. size,pow
1,autumn,0.128106817,5.07E-20,large,1
2,autumn,0.131570559,1.14E-63,large,1
3,autumn,0.140610397,1.12E-23,large,1
4,autumn,0.164809666,7.69E-21,large,1
5,autumn,0.210667117,2.41E-18,large,1
6,autumn,0.066951394,4.52E-35,large,1
7,autumn,0.105837147,1.83E-74,large,1
8,autumn,0.091838416,2.49E-56,large,1
9,autumn,0.139061292,5.49E-25,large,1
10,autumn,0.043760421,3.52E-78,large,1
11,autumn,0.063161531,1.96E-51,large,1
12,autumn,0.067740668,3.37E-26,large,1
13,autumn,0.109710785,9.33E-24,large,1
14,autumn,0.068410575,6.75E-60,large,1
15,autumn,0.078355936,1.19E-22,large,1
16,autumn,0.060951678,2.01E-31,large,1
17,autumn,0.060195543,1.75E-31,large,1
18,autumn,0.067119558,1.64E-31,large,1
19,autumn,0.067733084,4.80E-14,large,1
20,autumn,0.093906785,2.87E-69,large,1
21,autumn,0.058663092,9.16E-23,large,1
22,autumn,0.071904838,1.59E-50,large,1
23,autumn,0.063454928,2.86E-19,large,1
24,autumn,0.080891656,3.69E-41,large,1
25,autumn,0.001363786,0.161403361,negligible,0.247827902
26,autumn,0.048795247,2.44E-50,large,1
27,autumn,0.055738049,7.73E-35,large,1
28,autumn,0.059888856,2.31E-74,large,1
29,autumn,0.079230839,2.48E-22,large,1
31,autumn,0.052813494,1.57E-48,large,1
32,autumn,0.065036379,6.13E-20,large,1
1,chauffeur,0.039621052,4.42E-11,small,0.999709285
2,chauffeur,0.049544443,2.56E-19,small,1
3,chauffeur,0.020472243,0.002381951,negligible,0.789737934
4,chauffeur,0.035780105,0.584703264,negligible,0.656241802
5,chauffeur,0.222207801,4.54E-12,large,1
6,chauffeur,0.141388077,3.30E-36,large,1
7,chauffeur,0.03064843,4.55E-06,negligible,0.99970966
8,chauffeur,0.020348854,2.54E-09,small,0.999999966
9,chauffeur,0.01490943,0.357418379,negligible,0.913313699
10,chauffeur,0.076036528,2.33E-80,large,1
11,chauffeur,0.12172923,3.21E-53,large,1
12,chauffeur,0.011844683,0.061504602,small,0.986227574
13,chauffeur,0.079936907,2.43E-12,medium,1
14,chauffeur,0.062723876,4.45E-25,small,1
15,chauffeur,0.023695882,0.411403825,negligible,0.343937496
16,chauffeur,0.064165668,4.86E-33,large,1
17,chauffeur,0.0573326,2.94E-33,large,1
18,chauffeur,0.014859454,0.059500534,negligible,0.975032617
19,chauffeur,0.011731254,0.16403277,small,0.902062894
20,chauffeur,0.14412577,1.36E-69,large,1
21,chauffeur,0.040689997,1.63E-26,medium,1
22,chauffeur,0.006262884,0.057134264,negligible,0.637105685
23,chauffeur,0.048760188,5.99E-20,medium,1
24,chauffeur,0.147662422,9.84E-33,large,1
25,chauffeur,0.067977598,1.82E-18,large,1
26,chauffeur,0.083265981,2.78E-49,large,1
27,chauffeur,0.004614768,0.00034368,negligible,0.42532396
28,chauffeur,0.087701875,3.93E-75,large,1
29,chauffeur,0.077618278,1.48E-24,large,1
31,chauffeur,0.072412041,1.99E-57,large,1
32,chauffeur,0.017397419,6.80E-05,small,0.983609869
